Unknown
Middle Finger
Open
Close
Pointer
HollowPurple
DomainExpansion
Peace
Kon
Scroll (Hand Down)
Scroll (Hand Up)
Zoom (Fingers together)
Zoom (Fingers apart)
Click (Down)
Click (Up)
